IP,Throughput,bit0,bit1,bit2,bit3,bit4,bit5,bit6,bit7,bit8,bit9,bit10,bit11,bit12,bit13,bit14,bit15,bit16,bit17,bit18,bit19,bit20,bit21,bit22,bit23,bit24,bit25,bit26,bit27,bit28,bit29,bit30,bit31
"00000001000001100100101100100111	",0.068401779,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1
"00000001111000100101010011100011	",0.398324454,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1
"00000010000100100100001001000011	",1.162385146,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
"00000010000100100100001010101000	",0.039571996,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
"00000010000100111001000010111001	",1.457479406,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1
"00000010000100111001100100100101	",0.948227401,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1
"00000010000100111001110010100110	",3.515488029,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0
"00000010000100111001110101100010	",0.219452519,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
"00000010000101000010010000001110	",5.078504637,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0
"00000010000101000010011101011111	",2.187094531,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1
"00000010000101011101100011000100	",1.525024817,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0
"00000010000101101001001010101010	",5.772972292,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
"00000010000101101001001010111000	",0.563380567,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0
"00000010001110010101100100000110	",0.193029506,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0
"00000010001110011000100100010010	",0.307871499,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
"00000010001110111000010110100110	",0.688061527,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0
"00000011000000001111100010101000	",0.142916542,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0
"00000011000000011010110011000001	",0.108607436,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1
"00000011000010011110001100001000	",6.201149367,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
"00000011000100001101110001111111	",0.43315526,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1
"00000011011010010011100000010001	",0.215699568,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
"00000011011110000011001101010011	",6.478446949,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1
"00000011110101111110000000010000	",0.299983303,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"00000011110111111000010011001011	",2.912246214,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1
"00000011110111111000101101100101	",1.866086638,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1
"00000011111000000011001101011100	",0.456765043,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0
"00000011111110001001000111110101	",3.58256575,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1
"00000101000010011110010111110010	",0.322147329,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0
"00000101001000000001111010011010	",0.275607502,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0
"00000101001000111110000111000000	",0.528349048,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0
"00000101001001111011100111101000	",1.172334165,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0
"00000101001010101111101000100001	",0.625151317,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1
"00000101001011001111000101010111	",3.283716205,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1
"00000101001110001000010010000100	",1.152027019,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"00000101001110100011100001100000	",2.085130595,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0
"00000101001111011111100010111111	",2.798704398,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1
"00000101001111110111000000101000	",1.346024973,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
"00000101010011011111000111010111	",0.981619253,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1
"00000101011000011000010100000011	",0.223867994,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
"00000101100001110001101111011010	",0.806313595,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0
"00000101100001110100111001100111	",1.818031547,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1
"00000101100110010000010110100011	",1.449840338,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1
"00000101100110010001011100000011	",3.130202253,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1
"00000101100110010001011100000110	",8.649322383,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0
"00000101100110010001011100001110	",3.003431978,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0
"00000101101000000011000001111100	",0.110053518,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0
"00000101101011110000111000010110	",2.361431446,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0
"00000101101011110001001011101001	",5.929610055,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1
"00000101101100110101010110011111	",0.573452501,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1
"00000101101100110101010110100011	",0.541141348,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1
"00000101101101101111100010010100	",0.487875194,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0
"00000101101111011000000000100001	",4.011370327,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"00000101101111011000111001111111	",1.666133263,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1
"00000101101111011010100111000011	",1.443594385,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1
"00000101101111011011010010000001	",1.052670057,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1
"00000101110000101111110100111001	",0.103471928,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1
"00000101110000101111110100111011	",0.055156884,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1
"00000101110000110001110100010101	",0.196218082,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1
"00000101110000110001110100110001	",0.298434625,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1
"00000101110000110001110110001100	",0.255891944,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0
"00000101110000111100000001100101	",0.192872761,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
"00000101110000111100000101100100	",0.393615054,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0
"00000101111110011110001001010000	",1.165442652,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
"00001000001010110110000000001111	",0.325750424,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
"00001000111110011111100111110110	",4.092535086,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0
"00001000111111100101111011111110	",0.841425666,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
"00001101001000001010111001100011	",0.163714533,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1
"00001101001101011000000011101100	",0.870128821,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
"00001101010000011101010011111100	",0.24126283,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0
"00001101010000110100110011001001	",0.460382232,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1
"00001101010000110101110000110000	",0.442236265,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
"00001101010001100000001000010011	",0.185006533,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
"00001101010001101011101010100010	",0.134894328,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0
"00001101010010100000110001011000	",4.18899716,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0
"00001101010011111111001101000000	",1.90123148,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0
"00001101010100000000101011001100	",0.625939606,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0
"00001101010100011101011111101011	",1.349275107,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1
"00001101010100011101110110111100	",1.596271977,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0
"00001101010111000001110000011001	",0.447959878,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1
"00001101010111100110100100101001	",1.587479981,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1
"00001101010111101000111110000011	",15.76027611,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
"00001101010111101111110001011101	",0.549050476,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
"00001101010111110101001010110011	",5.002796211,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1
"00001101011010111111011000001010	",0.794391004,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0
"00001101110100011110000000010110	",0.283032331,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0
"00001101110100110111001000000001	",1.099873547,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
"00001101111000001000001000000010	",7.652607815,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"00001101111000001000001000000111	",2.454439193,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"00001101111000001000001000100101	",0.404000281,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
"00001101111000001000001000111101	",1.692326356,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1
"00001101111000001000001000111111	",6.48517494,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1
"00001101111000001000001001001100	",0.295194777,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
"00001101111000001000001001011111	",0.071825854,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1
"00001101111000001000001001110101	",5.200309276,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
"00001101111000001000001001110110	",3.018949029,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0
"00001101111000001101111100000101	",0.257821945,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1
"00001101111000001101111100001001	",0.326381391,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1
"00001101111000001101111100001010	",0.140705264,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0
"00001101111000001101111100001100	",0.35080925,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0
"00001101111000001101111100010001	",0.235157541,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1
"00001101111000001101111100010111	",0.302484411,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1
"00001101111000001101111100011011	",0.334311686,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1
"00001101111000001101111100100001	",0.324183572,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1
"00001101111000001101111100100111	",0.233351747,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1
"00001101111000001101111100101011	",0.296645553,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1
"00001101111000001101111100110100	",0.169700928,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0
"00001101111000001101111100111010	",0.357585698,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0
"00001101111000001101111101000000	",0.744026883,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0
"00001101111000001101111101000001	",0.200080399,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1
"00001101111000001101111101001010	",0.279466427,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0
"00001101111000001101111101001011	",0.200096726,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1
"00001101111000001101111101010100	",0.269507259,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0
"00001101111000001101111101011001	",0.349887364,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1
"00001101111000001101111101011010	",0.301730967,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0
"00001101111000001101111101011101	",0.203818471,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1
"00001101111000001101111101011111	",0.330515177,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1
"00001101111000001101111101100010	",0.260298858,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0
"00001101111000001101111101100011	",0.308632306,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1
"00001101111000001101111101100111	",0.309760039,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1
"00001101111000001101111101101010	",0.29384047,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0
"00001101111000001101111101101110	",0.237759181,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0
"00001101111000001101111101110011	",0.148381881,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1
"00001101111000001101111101111000	",0.330307604,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0
"00001101111000001101111101111010	",0.259195897,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0
"00001101111000001101111101111110	",0.328566103,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0
"00001101111000001110001100000101	",1.856340441,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1
"00001101111000001110001100010011	",1.233149464,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1
"00001101111000001110001100110000	",0.50241812,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0
"00001101111000001110001100110110	",3.67525952,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0
"00001101111000001110001101001011	",2.114193482,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1
"00001101111000001110001101011010	",0.969188654,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0
"00001101111000001110001101101110	",1.550290232,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0
"00001101111000001110111100100101	",0.348040321,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1
"00001101111000111010101000000100	",1.920889978,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
"00001101111000111010101000110000	",4.838421701,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0
"00001101111000111010101001010101	",1.641971153,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
"00001101111000111010101001110011	",0.795511601,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1
"00001101111001100101010000010111	",0.183745313,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1
"00001101111001110001111111100001	",0.350103262,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1
"00001101111010111001111000001101	",0.14621909,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1
"00001101111010111010110000001100	",2.248316625,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0
"00001101111011100100101101010110	",0.213937671,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0
"00001101111011101011010110010010	",0.114114688,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0
"00001101111011110100011001100110	",0.237284708,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0
"00001110001011000110110110001011	",0.232810072,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1
"00001110001111111101010111110001	",0.948120002,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1
"00001110100010110010100000101100	",0.116724032,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
"00001110100010110011110010111011	",0.552271744,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1
"00001110100010110101001000110010	",0.305785541,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
"00001110100010110110111001001110	",0.040017319,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0
"00001110100010110111010000010010	",0.413903873,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0
"00001110100010111110101110001000	",0.200967264,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0
"00001110100011111010101000001111	",0.291727978,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1
"00001110101000010001011000011111	",0.115557747,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1
"00001110111011100000001100000101	",0.11696866,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
"00001111101001000110010100011110	",1.781982698,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0
"00010010100010000111100000010100	",0.147539591,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0
"00010010100010100111000011101010	",0.374313582,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0
"00010010100010101001000011011010	",0.21866399,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0
"00010010100010111010100000011010	",0.576225105,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0
"00010010101111000111100110110001	",0.230255472,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1
"00010010110000110001111110100100	",0.555522767,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0
"00010010110010001011001110001011	",0.614033784,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1
"00010010110010111010011000011010	",2.152978435,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0
"00010010110110010111101001011010	",0.227973579,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0
